ENS,Gene,SGPL1_Control.A,SGPL1_Control.B,SGPL1_Control.C,SGPL1_KO.A,SGPL1_KO.B,SGPL1_KO.C,SGPL1_OE.A,SGPL1_OE.B,SGPL1_OE.C
ENSG00000207721,MIR186,30.34031919,10.02567467,10.69244597,0,0,6.338785787,0,0,23.74752214
ENSG00000283416,MIR1910,0,0,0,0,0,0,0,10.83064381,0
ENSG00000222071,MIR1915,0,5.388800138,22.98875884,0,0,0,0,0,3.6469409
ENSG00000262454,MIR193BHG,4.601121861,3.634700705,3.496389177,2.260535579,2.3083572,2.793718451,7.021445401,5.657932622,5.016126349
ENSG00000207752,MIR199A1,0,0,12.95141343,0,0,0,0,0,0
ENSG00000207607,MIR200A,4.83197676,19.16017827,0,26.81172494,0,0,0,9.62723894,12.96690098
ENSG00000207730,MIR200B,0,18.15174783,14.51921611,4.233430253,0,0,0,4.560271077,9.213324379
ENSG00000257084,MIR200CHG,26.09267451,27.09796641,56.48666457,132.1435015,100.276641,76.31898087,29.66348924,11.14009077,21.67324878
ENSG00000284485,MIR205,51.39466191,39.19127373,16.71909734,14.62457724,30.87697158,24.77888989,25.74104438,39.3841593,47.74177178
ENSG00000230937,MIR205HG,160.7184322,149.9013379,146.4285405,168.4960517,160.4663758,163.2466745,205.3511361,192.2031935,180.1214069
ENSG00000199038,MIR210,0,0,0,0,0,0,8.580348127,0,10.60928262
ENSG00000247095,MIR210HG,8.618864191,6.315181549,5.94280711,6.237971334,7.479413864,13.15277568,11.99622132,9.146084387,10.30759686
ENSG00000253030,MIR2116,0,0,11.49437942,0,0,0,11.79797867,0,0
ENSG00000199036,MIR219A1,3.953435531,0,0,0,6.86154924,0,0,0,0
ENSG00000207870,MIR221,7.906871063,3.919127373,0,7.312288619,0,0,0,0,7.956961963
ENSG00000270069,MIR222HG,3.903751422,2.941104563,3.301796601,0.866447125,0.271012717,0.782959537,2.711205153,4.977818339,2.828507125
ENSG00000186594,MIR22HG,37.13793257,42.59065079,41.26582296,37.03897031,39.68484775,29.75790327,29.71225708,28.14661619,25.20859349
ENSG00000207563,MIR23B,0,0,0,0,3.890569157,0,9.73029169,0,0
ENSG00000207547,MIR25,0,0,0,0,0,0,11.23617017,46.41704489,6.946554095
ENSG00000199102,MIR302C,6.395263359,6.339764868,0,0,0,0,0,6.370966945,0
ENSG00000264500,MIR3124,25.96286021,19.30316467,0,36.01574991,5.632615048,8.136351905,14.08713872,19.39816801,4.354556298
ENSG00000266555,MIR3145,0,10.51473198,0,0,0,0,0,0,0
ENSG00000265112,MIR3153,5.303389127,0,0,0,0,0,0,0,7.115982244
ENSG00000265539,MIR3164,10.47898575,0,0,0,0,0,0,5.219587377,0
ENSG00000266235,MIR3176,0,0,5.108613075,0,0,0,5.243546078,24.06809735,0
ENSG00000264175,MIR3189,0,0,12.59658018,0,0,0,0,5.934599346,0
ENSG00000264395,MIR3193,0,0,0,0,0,0,0,7.87683186,5.304641309
ENSG00000171889,MIR31HG,8.493709149,10.25709117,8.163621746,10.42572401,7.638834115,10.84076433,10.22268039,11.38448355,9.531777352
ENSG00000211513,MIR320E,16.41048711,0,0,0,0,0,0,0,0
ENSG00000199023,MIR339,4.626360728,9.172425766,0,0,0,0,0,0,9.311338468
ENSG00000207839,MIR33B,0,8.981333563,0,0,0,0,4.915824448,0,3.039117417
ENSG00000228526,MIR34AHG,3.198366598,4.854998056,3.909832576,1.247845162,1.214293936,1.754056099,2.71155566,2.937292506,2.916882172
ENSG00000284154,MIR3605,0,4.31104011,0,0,0,5.451355777,9.43838294,4.332257523,0
